frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,5.0,[2197.166015625 1154.0797119140625 2785.6494140625 1736.55322265625],[2407.93994140625 1551.42724609375 2576.87939453125 1638.404052734375],0.5944319367408752,0,0
0,3.0,[752.872314453125 1369.2108154296875 1430.780517578125 1982.91064453125],[973.765625 1753.3370361328125 1199.72802734375 1851.6199951171875],0.565712571144104,OA13NRU,0.31111450983504346
1,5.0,[2197.3992701546013 1154.2835435957104 2785.5587234171753 1736.5470030710435],[2407.91455078125 1551.371337890625 2576.935546875 1638.369873046875],0.5950815081596375,MU51KSU,0.1242574498338961
1,3.0,[752.763898812428 1369.2585762064925 1430.435975535132 1982.8932762263496],[973.757080078125 1753.3359375 1199.621337890625 1851.615234375],0.5656630992889404,OA13NRU,0.18627884242343298
2,5.0,[2201.1788933623575 1163.4533141871298 2783.9078446580797 1740.852106515461],[2411.8359375 1549.122802734375 2583.56640625 1641.93603515625],0.5861988067626953,HV51VSU,0.20408029170235567
2,3.0,[750.1345603709997 1374.3687232875832 1425.9203741594183 1990.014962944109],[974.7024536132812 1764.7635498046875 1203.420166015625 1862.90625],0.5311557054519653,0,0
3,3.0,[748.07839672778 1378.2309914929954 1424.6946572562713 1996.1641851277639],[971.7613525390625 1775.494140625 1188.5355224609375 1863.693115234375],0.5446370244026184,0,0
3,5.0,[2196.531595099138 1169.0065657577113 2783.135006991941 1747.687290232009],[2416.8408203125 1559.733642578125 2584.547607421875 1648.22802734375],0.49529537558555603,0,0
4,3.0,[749.0851468036035 1380.2562746080816 1430.1694572522247 2000.7945260438696],[963.6485595703125 1783.3861083984375 1184.638916015625 1873.4183349609375],0.4999427795410156,NA13NRU,0.46606421649012747
4,5.0,[2196.69990030976 1171.529200988093 2784.998078685904 1751.7260189474043],[2410.7353515625 1562.9150390625 2585.17041015625 1653.1937255859375],0.42640000581741333,HU51KSU,0.22825997511961466
5,3.0,[746.8354902874992 1383.421437690072 1431.3385595021302 2007.0068300886198],[967.8922119140625 1783.9281005859375 1191.718017578125 1882.6552734375],0.5429872870445251,0,0
5,5.0,[2194.0966233408444 1174.1966887703206 2789.763901228718 1755.626018477048],[2411.28271484375 1562.439453125 2586.2568359375 1652.39111328125],0.49761343002319336,HU51VSU,0.41064862763462867
6,3.0,[742.3584252455873 1386.9291099532657 1428.872082653592 2012.105553740144],[958.7540283203125 1783.9215087890625 1185.52783203125 1884.35302734375],0.5156635046005249,0,0
6,5.0,[2192.9396332845354 1176.7569540357636 2788.9337395941684 1758.438010338356],[2411.54736328125 1566.5921630859375 2584.35107421875 1651.2095947265625],0.47910165786743164,0,0
7,3.0,[740.775231027741 1387.7478351392444 1428.4357698717681 2013.7539888351682],[958.9371337890625 1783.8427734375 1185.5155029296875 1884.295166015625],0.5161934494972229,0,0
7,5.0,[2192.045335856577 1177.3985142037354 2788.412890522173 1759.2667891703295],[2411.728759765625 1566.5020751953125 2584.665771484375 1651.2923583984375],0.48065629601478577,0,0
8,5.0,[2189.133182145383 1176.7713732785842 2789.4468878919743 1762.0338153048829],[2416.160888671875 1575.29638671875 2587.7529296875 1653.5283203125],0.5656305551528931,MO51YSU,0.08182163084921094
8,3.0,[735.6200699997079 1391.3025969334415 1422.966142995651 2020.2223348342084],[947.817626953125 1785.422607421875 1193.75 1889.37744140625],0.42375653982162476,0,0
9,5.0,[2190.6487143601744 1175.7444613033815 2792.2374711228613 1764.4548820979392],[2414.810546875 1579.6453857421875 2589.49755859375 1661.1383056640625],0.5821932554244995,KT53YSU,0.05813567377452659
9,3.0,[737.1985412769651 1396.0504653908679 1425.60836316135 2026.1469254553704],[939.8256225585938 1790.5682373046875 1188.2001953125 1892.2584228515625],0.3869597911834717,NA13NRU,0.391677703834933
10,5.0,[2188.8936480892417 1177.7805068122957 2792.992499359805 1768.6962719023363],[2409.1279296875 1583.3271484375 2586.08984375 1661.169921875],0.5489413142204285,0,0
10,3.0,[736.5234474971945 1399.0682241783306 1430.520181213435 2031.7885917901613],[947.802978515625 1789.8218994140625 1189.42822265625 1894.6607666015625],0.4943678677082062,0,0
11,5.0,[2192.3766160423056 1178.260462755852 2801.1658279177236 1771.1809906741908],[2420.077880859375 1588.7589111328125 2588.644775390625 1664.0943603515625],0.5693764090538025,0,0
11,3.0,[731.6587294025469 1402.6957483333974 1426.536749593986 2037.7143465293032],[959.1637573242188 1796.6422119140625 1184.0634765625 1896.5225830078125],0.4794106185436249,0,0
12,5.0,[2193.0721570586365 1172.6505055683378 2807.0020696363217 1771.3495218553853],[2417.7392578125 1587.926513671875 2591.132080078125 1674.018310546875],0.631747841835022,0,0
12,3.0,[727.547484120156 1404.1161355968366 1422.276787279218 2041.4150192761776],[943.5031127929688 1802.426513671875 1187.02685546875 1903.083251953125],0.5232537984848022,NA13NRU,0.5026946152826635
13,5.0,[2192.4154622894325 1169.9564783676824 2809.7479114461744 1772.3475109219526],[2417.90625 1588.09912109375 2590.99658203125 1673.648681640625],0.6264284253120422,NO51YSU,0.05316768973840633
13,3.0,[726.2982508223783 1404.2621356333411 1420.756267679402 2043.2461301625808],[943.4718017578125 1802.43310546875 1187.15625 1903.107421875],0.523212194442749,NA13NRU,0.5026946152826635
14,5.0,[2193.621796077797 1176.172206822038 2814.818237241497 1777.3520863746937],[2415.3896484375 1588.543212890625 2587.59912109375 1672.47802734375],0.6095019578933716,MV51VSU,0.17693576427361865
14,3.0,[725.948051531249 1407.0738143121414 1423.1740560007229 2052.1907329919986],[938.2769165039062 1806.96240234375 1184.478759765625 1911.066650390625],0.563962459564209,NA13NRU,0.5168530531299063
15,5.0,[2191.4761973976533 1183.1653456165634 2815.8002839736305 1781.7329186413742],[2421.27490234375 1594.367431640625 2586.361328125 1671.6719970703125],0.6357747316360474,0,0
15,3.0,[723.0792314357134 1408.5605018111926 1418.8183220916019 2053.3831522802134],[936.7955932617188 1821.8829345703125 1156.318603515625 1914.3599853515625],0.5854652523994446,NA13MRU,0.2114407460213353
16,5.0,[2194.69459308245 1188.5898282634985 2820.569118253265 1785.2405274521607],[2421.57958984375 1595.2979736328125 2591.195556640625 1681.7098388671875],0.6135309934616089,0,0
16,3.0,[722.458732746752 1412.9163865397238 1419.6812316489218 2056.865444829803],[959.2699584960938 1826.1456298828125 1167.94140625 1918.6951904296875],0.5466138124465942,NA13NRU,0.184412391256291
17,5.0,[2193.4709477885344 1191.5953295215527 2817.5345788036802 1788.9881046472196],[2423.060302734375 1597.230712890625 2593.647216796875 1687.283447265625],0.6150826811790466,0,0
17,3.0,[716.9064344784381 1417.3288082227807 1415.1858434524308 2062.0351978138824],[957.8289794921875 1835.7568359375 1171.0255126953125 1923.843017578125],0.5815416574478149,NA13NRU,0.3599270696259898
18,5.0,[2195.4810989110993 1194.7625401834894 2822.6315954672637 1793.3515285892054],[2421.1220703125 1596.1175537109375 2594.1875 1690.1033935546875],0.6309385299682617,ML51NSU,0.24583965349371514
18,3.0,[712.7732462364988 1420.4195500100086 1414.0351002223165 2066.757933966514],[935.508056640625 1831.27880859375 1181.320556640625 1933.939453125],0.5918978452682495,0,0
19,5.0,[2195.8236117000797 1195.7432916383705 2825.2583324312327 1795.107584716813],[2421.060546875 1596.087158203125 2594.22021484375 1690.163818359375],0.6304643154144287,ML51NSU,0.24583965349371514
19,3.0,[710.6427421764731 1421.0701460998189 1414.1199952946188 2068.5477881904467],[935.3867797851562 1831.1978759765625 1181.3583984375 1934.073486328125],0.5924529433250427,0,0
20,5.0,[2198.0921914016544 1196.8976796374805 2825.7974384304653 1798.196887333907],[2424.3701171875 1600.628173828125 2596.7275390625 1695.7078857421875],0.630373477935791,MV51VSU,0.4518813289837802
20,3.0,[704.4953819888119 1423.3266133790892 1410.6888548779102 2072.300883206746],[920.6663818359375 1832.7403564453125 1181.323486328125 1941.5364990234375],0.5678165555000305,0,0
21,5.0,[2196.531159711848 1177.5446888254328 2821.599956666264 1792.5382332113172],[2421.150390625 1607.1339111328125 2597.2841796875 1701.6910400390625],0.6157814860343933,ML51YSV,0.05943275765558461
21,3.0,[701.4766730321562 1426.5348950831474 1409.2053616840476 2075.5958025828595],[910.2103271484375 1838.9044189453125 1164.529541015625 1941.2640380859375],0.39883601665496826,0,0
22,5.0,[2193.631921847721 1188.1714347251404 2815.196998237878 1801.5217798341805],[2419.31494140625 1609.1129150390625 2596.68212890625 1700.9842529296875],0.5573258399963379,0,0
22,3.0,[699.4501490141524 1430.846565953125 1409.0670539780403 2081.458137794125],[915.9979248046875 1839.705078125 1176.4072265625 1946.100830078125],0.46127718687057495,0,0
23,5.0,[2193.159361316183 1191.6578817574086 2813.6048371232027 1805.4951172749961],[2418.3681640625 1613.447265625 2593.568359375 1701.29833984375],0.5910221338272095,0,0
23,3.0,[697.44590315489 1435.7320737704679 1406.2642371503175 2085.075497792306],[939.0281982421875 1852.9163818359375 1161.59326171875 1945.7808837890625],0.5249859094619751,0,0
24,5.0,[2194.226003518176 1198.0231938248428 2813.6727891882574 1810.2383357911206],[2424.47265625 1619.255859375 2596.3466796875 1701.387451171875],0.5833210945129395,MI51VSU,0.1389308664692177
24,3.0,[694.9762810401685 1440.8806040988645 1405.8967831566702 2090.816515451737],[929.6021118164062 1851.981201171875 1162.6533203125 1958.55859375],0.4914180338382721,0,0
25,5.0,[2194.8737690275275 1200.5306868474338 2813.587529297921 1811.6363384987446],[2424.46337890625 1619.4510498046875 2596.030517578125 1701.2962646484375],0.5803422927856445,0,0
25,3.0,[694.0681800754471 1442.6690169726826 1406.4616612076873 2093.1025401948245],[929.7568359375 1851.6318359375 1162.852294921875 1958.559326171875],0.4915863275527954,0,0
26,5.0,[2194.861666508221 1204.26259007952 2813.155408866175 1814.7578536952276],[2425.511474609375 1626.4521484375 2598.78173828125 1708.2490234375],0.6131476759910583,MI51VSU,0.2676331089623134
26,3.0,[693.8807213478763 1443.2653717922908 1406.708746006519 2095.9044480701996],[927.9325561523438 1861.31103515625 1168.736328125 1965.648193359375],0.5566608309745789,0,0
27,5.0,[2196.8174094013907 1208.2149395550603 2813.733767345096 1816.5295875995423],[2421.14599609375 1626.3387451171875 2599.56689453125 1709.4569091796875],0.6093282699584961,MI51VSU,0.05928542627038191
27,3.0,[691.3610544286519 1445.8005095035287 1404.5451732716608 2099.976442479613],[918.0625 1869.56982421875 1154.2080078125 1959.16259765625],0.504813551902771,NA13MRU,0.15181012581328016
28,5.0,[2198.2653027799224 1211.754203664712 2814.998885093346 1819.1414583473907],[2424.3837890625 1634.2451171875 2597.9619140625 1714.7236328125],0.6435139775276184,0,0
28,3.0,[690.1605524988279 1449.496456480861 1402.6987824767195 2104.305037607396],[907.410400390625 1874.632080078125 1173.1348876953125 1973.27734375],0.34701159596443176,0,0
29,5.0,[2200.2251288333437 1213.6012518723117 2816.7856286329034 1822.126005291231],[2426.16552734375 1636.02099609375 2599.71728515625 1723.998779296875],0.668651282787323,IV51VSU,0.04874615543679056
29,3.0,[687.6450728075042 1454.0019920740647 1401.3104762614244 2109.0835367197624],[935.7156372070312 1878.724365234375 1152.6435546875 1969.010009765625],0.5527674555778503,0,0
30,5.0,[2201.9430922393003 1219.3558965592506 2819.845577534571 1828.6652283337135],[2426.8896484375 1637.1015625 2597.40576171875 1721.106201171875],0.6464848518371582,MI51WSU,0.07123103896556449
30,3.0,[685.1656145370578 1458.6509394512975 1400.2206292167468 2112.950500980827],[923.3988647460938 1880.4019775390625 1158.55712890625 1982.7396240234375],0.5684548616409302,0,0
