Frame,Class,Make,Model,Color,Probability,Coordinates,Frame Path
1,car,Toyota Corolla  2012,Sedan,White,0.059,"(2043, 879, 2427, 1226)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Infiniti G  IPL 2012,Coupe,Black,0.094,"(2, 687, 354, 985)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Toyota Corolla  2012,Sedan,Black,0.168,"(752, 1369, 1430, 1982)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,FIAT 500 Abarth 2012,,White,0.105,"(1150, 1303, 1645, 1800)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Suzuki SX4  2012,Sedan,Black,0.063,"(2197, 1154, 2785, 1736)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,BMW X5  2007,SUV,White,0.259,"(1246, 1008, 1745, 1426)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Geo Metro  1993,Convertible,White,0.163,"(476, 1961, 1172, 2151)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Toyota Corolla  2012,Sedan,White,0.065,"(1294, 840, 1676, 1062)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Audi A5  2012,Coupe,White,0.153,"(597, 583, 807, 773)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Ford Freestar  2007,Minivan,White,0.121,"(2236, 810, 2553, 1056)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,bus,Ram C/V Cargo  Minivan 2012,Van,White,0.053,"(2127, 451, 2421, 714)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,truck,Toyota Corolla  2012,Sedan,White,0.032,"(286, 539, 608, 881)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Audi A5  2012,Coupe,White,0.239,"(2220, 1056, 2668, 1227)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Land Rover LR2  2012,SUV,White,0.028,"(2280, 1706, 3326, 2150)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Volkswagen Beetle back 2012,Hatch,White,0.059,"(1479, 769, 1787, 1079)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Nissan Leaf back 2012,Hatch,White,0.024,"(1403, 672, 1694, 837)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Nissan Leaf back 2012,Hatch,White,0.116,"(2090, 691, 2435, 898)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Volkswagen Beetle back 2012,Hatch,White,0.114,"(843, 584, 972, 725)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,truck,Audi A5  2012,Coupe,White,0.028,"(2259, 1706, 3330, 2140)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Scion xD back 2012,Hatch,White,0.257,"(2445, 585, 2609, 762)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Audi A5  2012,Coupe,White,0.151,"(956, 622, 1084, 689)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Toyota 4Runner  2012,SUV,White,0.051,"(746, 589, 891, 733)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Scion xD back 2012,Hatch,White,0.298,"(1551, 576, 1805, 786)",vehicle_classification/frames_with_vehicles/frame_0.jpg
1,car,Dodge Caravan  1997,Minivan,White,0.050,"(747, 577, 887, 700)",vehicle_classification/frames_with_vehicles/frame_0.jpg
2,car,Toyota Corolla  2012,Sedan,White,0.060,"(2043, 879, 2427, 1226)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Infiniti G  IPL 2012,Coupe,Black,0.087,"(2, 688, 354, 985)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Toyota Corolla  2012,Sedan,Black,0.169,"(752, 1369, 1430, 1982)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,FIAT 500 Abarth 2012,,White,0.106,"(1150, 1303, 1645, 1800)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Suzuki SX4  2012,Sedan,Black,0.066,"(2197, 1154, 2785, 1736)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,BMW X5  2007,SUV,White,0.258,"(1246, 1008, 1745, 1426)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Geo Metro  1993,Convertible,White,0.184,"(477, 1961, 1172, 2151)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Toyota Corolla  2012,Sedan,White,0.066,"(1294, 840, 1676, 1062)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Audi A5  2012,Coupe,White,0.156,"(597, 583, 807, 773)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Ford Freestar  2007,Minivan,White,0.124,"(2236, 810, 2553, 1056)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,bus,Ram C/V Cargo  Minivan 2012,Van,White,0.056,"(2127, 450, 2421, 715)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,truck,Toyota Corolla  2012,Sedan,White,0.031,"(285, 539, 608, 881)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Audi A5  2012,Coupe,White,0.241,"(2220, 1056, 2668, 1227)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Audi A5  2012,Coupe,White,0.027,"(2282, 1707, 3326, 2150)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Volkswagen Beetle back 2012,Hatch,White,0.060,"(1479, 769, 1787, 1079)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Audi A5  2012,Coupe,White,0.029,"(1407, 670, 1704, 845)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Nissan Leaf back 2012,Hatch,White,0.115,"(2092, 691, 2435, 898)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Volkswagen Beetle back 2012,Hatch,White,0.111,"(843, 584, 972, 724)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,truck,Audi A5  2012,Coupe,White,0.028,"(2259, 1706, 3330, 2140)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Scion xD back 2012,Hatch,White,0.224,"(2445, 586, 2610, 762)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Audi A5  2012,Coupe,White,0.150,"(956, 622, 1084, 689)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Toyota 4Runner  2012,SUV,White,0.054,"(746, 589, 891, 733)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Scion xD back 2012,Hatch,White,0.270,"(1551, 576, 1805, 787)",vehicle_classification/frames_with_vehicles/frame_1.jpg
2,car,Volkswagen Beetle back 2012,Hatch,White,0.053,"(747, 577, 887, 702)",vehicle_classification/frames_with_vehicles/frame_1.jpg
3,car,Dodge Caravan  1997,Minivan,White,0.098,"(2042, 877, 2428, 1228)",vehicle_classification/frames_with_vehicles/frame_2.jpg
3,car,Eagle Talon back 1998,Hatch,Black,0.073,"(3, 687, 357, 982)",vehicle_classification/frames_with_vehicles/frame_2.jpg
3,car,Toyota Corolla  2012,Sedan,Black,0.168,"(751, 1373, 1424, 1991)",vehicle_classification/frames_with_vehicles/frame_2.jpg
3,car,FIAT 500 Abarth 2012,,White,0.143,"(1145, 1306, 1647, 1805)",vehicle_classification/frames_with_vehicles/frame_2.jpg
3,car,Suzuki SX4  2012,Sedan,Black,0.072,"(2201, 1164, 2783, 1741)",vehicle_classification/frames_with_vehicles/frame_2.jpg
3,car,BMW X5  2007,SUV,White,0.264,"(1246, 1010, 1744, 1426)",vehicle_classification/frames_with_vehicles/frame_2.jpg
3,car,Geo Metro  1993,Convertible,White,0.130,"(484, 1968, 1169, 2151)",vehicle_classification/frames_with_vehicles/frame_2.jpg
3,car,Nissan Leaf back 2012,Hatch,White,0.088,"(1293, 843, 1678, 1065)",vehicle_classification/frames_with_vehicles/frame_2.jpg
3,car,Audi A5  2012,Coupe,White,0.203,"(598, 583, 808, 773)",vehicle_classification/frames_with_vehicles/frame_2.jpg
