Frame,Class,Make,Model,Color,Probability,Coordinates,Frame Path
1,car,Suzuki SX4  2012,Sedan,Black,0.082,"(2177, 1166, 2799, 1732)",frames_with_vehicles\frame_0.jpg
1,car,Jeep Compass  2012,SUV,White,0.055,"(1149, 1310, 1666, 1795)",frames_with_vehicles\frame_0.jpg
1,car,Honda Accord  2012,Coupe,Black,0.154,"(756, 1363, 1449, 1982)",frames_with_vehicles\frame_0.jpg
1,car,Infiniti G  IPL 2012,Coupe,Black,0.066,"(1, 690, 362, 982)",frames_with_vehicles\frame_0.jpg
1,car,BMW X5  2007,SUV,White,0.114,"(1216, 1014, 1773, 1423)",frames_with_vehicles\frame_0.jpg
1,car,Hyundai Veracruz  2012,SUV,White,0.154,"(2008, 874, 2437, 1217)",frames_with_vehicles\frame_0.jpg
1,car,Dodge Ram Pickup 3500  2010,Crew Cab,White,0.048,"(1466, 772, 1811, 1090)",frames_with_vehicles\frame_0.jpg
1,car,Audi A5  2012,Coupe,White,0.089,"(2228, 799, 2571, 1057)",frames_with_vehicles\frame_0.jpg
1,car,Dodge Caravan  1997,Minivan,White,0.065,"(1291, 833, 1672, 1071)",frames_with_vehicles\frame_0.jpg
1,car,Geo Metro  1993,Convertible,White,0.215,"(519, 1959, 1180, 2157)",frames_with_vehicles\frame_0.jpg
1,truck,Dodge Durango  2012,SUV,White,0.045,"(288, 539, 601, 865)",frames_with_vehicles\frame_0.jpg
1,car,Aston Martin V8 tage Convertible 2012,Van,White,0.050,"(2225, 1053, 2680, 1292)",frames_with_vehicles\frame_0.jpg
1,car,Audi A5  2012,Coupe,White,0.312,"(597, 583, 809, 777)",frames_with_vehicles\frame_0.jpg
1,truck,Audi A5  2012,Coupe,Green,0.083,"(53, 503, 340, 701)",frames_with_vehicles\frame_0.jpg
1,car,Audi A5  2012,Coupe,White,0.030,"(2124, 682, 2431, 877)",frames_with_vehicles\frame_0.jpg
1,car,Aston Martin V8 tage Convertible 2012,Van,White,0.054,"(758, 589, 894, 747)",frames_with_vehicles\frame_0.jpg
1,car,BMW 1 Series  2012,Coupe,White,0.043,"(1388, 662, 1697, 837)",frames_with_vehicles\frame_0.jpg
1,bus,Ford E-Series Wagon  2012,Van,White,0.045,"(2120, 451, 2419, 706)",frames_with_vehicles\frame_0.jpg
1,car,Plymouth Neon  1999,Coupe,White,0.081,"(1549, 572, 1828, 795)",frames_with_vehicles\frame_0.jpg
1,car,Nissan Leaf back 2012,Hatch,White,0.109,"(2442, 609, 2615, 776)",frames_with_vehicles\frame_0.jpg
1,car,Volvo C30 back 2012,Hatch,White,0.023,"(2275, 1702, 3308, 2158)",frames_with_vehicles\frame_0.jpg
1,car,GMC Yukon Hybrid  2012,SUV,White,0.042,"(852, 585, 961, 726)",frames_with_vehicles\frame_0.jpg
